abbhakṣa+Sing+Nom	abbhakṣa
ahṇa+Sing+Gen	ahṇaaḥ

aikṣvāka+Sing+Acc	aikṣvākaam

aikṣvāka+Sing+Gen	aikṣvākaaḥ

aikṣvāka+Sing+Nom	aikṣvāka

ailūṣa+Sing+Acc	ailūṣaam

aira+Sing+Acc	airaam

airaṃmadīya+Sing+Nom	airaṃmadīya

airāvata+Sing+Nom	airāvata

aiśvarya+Sing+Acc	aiśvaryaam

aiśvarya+Sing+Nom	aiśvarya

aiḍa+Sing+Voc	+?

aja+Dual+Nom	ajaau

aja+Plur+Acc	ajaaḥ

aja+Plur+Gen	ajaām

aja+Plur+Nom	ajaaḥ

aja+Sing+Abl	ajaaḥ

aja+Sing+Acc	ajaam

aja+Sing+Dat	ajae

aja+Sing+Gen	ajaaḥ

aja+Sing+Ins	ajaā

aja+Sing+Loc	ajai

aja+Sing+Nom	aja

ajagara+Sing+Acc	ajagaraam

ajagara+Sing+Loc	ajagarai

ajaśṛṅgī+Sing+Nom	ajaśṛṅgī

ajaśṛṅgī+Sing+Voc	+?

ajina+Plur+Acc	ajinaaḥ

ajina+Plur+Ins	ajinabhiḥ

ajina+Plur+Nom	ajinaaḥ

ajina+Sing+Acc	ajinaam

ajina+Sing+Nom	ajina

ajma+Plur+Loc	ajmasu

ajman+Sing+Acc	ajmanam

ajman+Sing+Loc	ajmani

ajra+Plur+Acc	ajraaḥ

ajra+Plur+Nom	ajraaḥ

ajuṣṭi+Sing+Nom	ajuṣṭi

ajñāna+Sing+Abl	ajñānaaḥ

ajā+Sing+Acc	ajāam

ajā+Sing+Dat	ajāe

ajā+Sing+Gen	ajāaḥ

ajā+Sing+Nom	ajā

ajāmi+Sing+Acc	ajāmiam

ajāmitā+Sing+Dat	ajāmitāe

ajātaśatru+Sing+Acc	ajātaśatruam

ajātaśatru+Sing+Nom	ajātaśatru

ajīgarta+Sing+Acc	ajīgartaam

ajīgarta+Sing+Nom	ajīgarta

ajīji+Sing+Acc	ajījiam

ajītapunarvaṇya+Sing+Nom	ajītapunarvaṇya

akartṛ+Sing+Nom	akartṛ

akra+Sing+Nom	akra

akriyā+Sing+Nom	akriyā

akrodha+Sing+Nom	akrodha

aktu+Plur+Acc	aktuaḥ

aktu+Plur+Ins	aktubhiḥ

aktu+Plur+Nom	aktuaḥ

aktu+Sing+Gen	aktuaḥ

aktu+Sing+Ins	aktuā

aktu+Sing+Nom	aktu

akāraṇa+Sing+Abl	akāraṇaaḥ

akṣa+Dual+Acc	akṣaau

akṣa+Plur+Acc	akṣaaḥ

akṣa+Plur+Dat	akṣabhyaḥ

akṣa+Plur+Ins	akṣabhiḥ

akṣa+Plur+Loc	akṣasu

akṣa+Plur+Nom	akṣaaḥ

akṣa+Sing+Acc	akṣaam

akṣa+Sing+Dat	akṣae

akṣa+Sing+Gen	akṣaaḥ

akṣa+Sing+Ins	akṣaā

akṣa+Sing+Nom	akṣa

akṣara+Dual+Nom	akṣaraau

akṣara+Plur+Acc	akṣaraaḥ

akṣara+Plur+Loc	akṣarasu

akṣara+Plur+Nom	akṣaraaḥ

akṣara+Sing+Abl	akṣaraaḥ

akṣara+Sing+Acc	akṣaraam

